"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"CIPLA","1,068.50","1,115.00","46.50","4.35","1,115.00","57,205","63,783,575.00","560,637,551,412.90","1,185.25","852.00"
"BAJFINANCE","7,433.15","7,577.90","144.75","1.95","7,577.90","9,803","74,286,153.70","1,981,708,687,523.27","7,999.90","5,485.70"
"SUNPHARMA","1,112.00","1,128.00","16.00","1.44","1,128.00","52,647","59,385,816.00","1,200,627,218,988.00","1,114.40","856.80"
"AXISBANK","976.80","989.35","12.55","1.28","989.35","229,239","226,797,604.65","2,677,152,436,876.63","990.00","702.05"
"DRREDDY","5,475.65","5,530.00","54.35","0.99","5,530.00","12,126","67,056,780.00","665,715,923,623.68","5,490.00","3,997.00"
"BAJAJFINSV","1,626.45","1,641.50","15.05","0.93","1,641.50","3,609","5,924,173.50","880,815,799,671.78","1,844.00","1,215.00"
"TATAMOTORS","641.10","647.00","5.90","0.92","647.00","66,391","42,954,977.00","1,128,586,034,423.71","665.40","375.20"
"LT","2,646.25","2,668.95","22.70","0.86","2,668.95","11,245","30,012,342.75","3,198,767,331,958.58","2,673.85","1,741.90"
"BPCL","387.20","390.00","2.80","0.72","390.00","20,497","7,993,830.00","369,571,251,489.79","397.90","288.05"
"INFY","1,348.85","1,358.60","9.75","0.72","1,358.60","42,242","57,389,981.20","4,813,900,291,341.61","1,672.60","1,185.30"
"ICICIBANK","996.45","1,002.55","6.10","0.61","1,002.55","57,973","58,120,831.15","6,970,865,290,907.70","1,008.70","791.65"
"LTIM","4,860.55","4,890.00","29.45","0.61","4,890.00","350","1,711,500.00","445,831,327,309.57","5,430.00","4,121.00"
"BAJAJ-AUTO","4,870.45","4,899.00","28.55","0.59","4,899.00","639","3,130,461.00","551,251,865,708.44","4,995.10","3,461.25"
"HDFCBANK","1,690.70","1,699.90","9.20","0.54","1,699.90","119,829","203,697,317.10","12,616,331,005,856.95","1,757.50","1,365.00"
"ASIANPAINT","3,373.00","3,390.00","17.00","0.50","3,390.00","2,591","8,783,490.00","1,520,625,848,464.90","3,582.90","2,685.85"
"ITC","472.25","474.40","2.15","0.46","474.40","46,728","22,167,763.20","4,167,083,278,848.25","499.70","300.45"
"ULTRACEMCO","8,352.35","8,352.00","37.65","0.45","8,352.00","427","3,566,304.00","964,483,757,464.30","8,499.00","6,005.00"
"HINDALCO","449.00","451.00","2.00","0.45","451.00","12,755","5,752,505.00","655,843,739,632.25","504.00","358.80"
"POWERGRID","251.00","252.00","1.00","0.40","252.00","15,634","3,939,768.00","857,910,947,743.36","263.60","186.35"
"INDUSINDBK","1,427.70","1,433.20","5.50","0.39","1,433.20","1,514","2,169,864.80","930,659,434,835.00","1,446.00","951.85"
"DIVISLAB","3,680.45","3,694.00","13.55","0.37","3,694.00","216","797,904.00","468,981,040,925.28","3,973.90","2,730.00"
"UPL","631.90","634.20","2.30","0.36","634.20","4,130","2,619,246.00","317,787,008,793.09","807.00","624.05"
"RELIANCE","2,526.20","2,534.05","7.85","0.31","2,534.05","43,923","111,303,078.15","8,545,644,270,895.50","2,856.00","2,180.00"
"WIPRO","402.75","404.00","1.25","0.31","404.00","11,666","4,713,064.00","596,870,400,423.80","444.90","352.00"
"ONGC","172.95","173.45","0.50","0.29","173.45","10,715","1,858,516.75","674,485,379,490.09","174.30","121.50"
"NESTLEIND","22,799.90","22,859.20","59.30","0.26","22,859.20","135","3,085,992.00","813,359,412,794.51","23,395.35","17,880.00"
"TATASTEEL","119.95","120.25","0.30","0.25","120.25","61,731","7,423,152.75","967,542,073,719.21","124.30","94.36"
"TATACONSUM","873.90","875.95","2.05","0.23","875.95","11,277","9,878,088.15","519,592,499,798.40","883.95","686.60"
"COALINDIA","230.50","231.00","0.50","0.22","231.00","8,812","2,035,572.00","525,588,285,368.20","263.40","199.55"
"SBIN","615.15","616.40","1.25","0.20","616.40","10,893","6,714,445.20","2,360,689,263,416.04","629.55","499.35"
"TCS","3,388.30","3,394.95","6.65","0.20","3,394.95","12,177","41,340,306.15","3,471,429,854,798.05","3,575.00","2,926.10"
"EICHERMOT","3,353.65","3,360.00","6.35","0.19","3,360.00","677","2,274,720.00","458,877,347,189.50","3,889.65","2,836.00"
"TITAN","3,008.35","3,013.95","5.60","0.19","3,013.95","1,221","3,680,032.95","1,255,262,602,384.92","3,210.00","2,266.55"
"SBILIFE","1,292.65","1,295.00","2.35","0.18","1,295.00","582","753,690.00","582,217,003,983.56","1,340.35","1,054.00"
"ADANIPORTS","752.65","753.90","1.25","0.17","753.90","2,676","2,017,436.40","634,073,145,012.16","987.85","395.10"
"GRASIM","1,839.10","1,842.15","3.05","0.17","1,842.15","292","537,907.80","678,116,612,838.90","1,849.00","1,485.10"
"MARUTI","9,756.35","9,770.00","13.65","0.14","9,770.00","632","6,174,640.00","1,296,767,469,087.64","10,036.95","8,076.05"
"NTPC","201.60","201.75","0.15","0.07","201.75","14,108","2,846,289.00","957,875,467,381.06","202.15","149.05"
"JSWSTEEL","805.45","806.00","0.55","0.07","806.00","4,507","3,632,642.00","739,841,077,291.24","823.35","581.60"
"ADANIENT","2,470.75","2,470.75","-","-","2,470.75","1,916","4,733,957.00","760,497,597,821.90","4,190.00","1,017.45"
"HDFCLIFE","658.60","658.60","-","-","658.60","4,045","2,664,037.00","707,877,844,939.00","690.85","457.80"
"HCLTECH","1,115.00","1,115.00","-","-","1,115.00","4,091","4,561,465.00","1,180,037,266,995.60","1,202.60","882.00"
"BHARTIARTL","889.40","889.35","-0.05","-0.01","889.35","2,892","2,572,000.20","2,233,538,894,024.64","896.65","664.20"
"HEROMOTOCO","3,145.70","3,107.55","-3.15","-0.10","3,107.55","3,270","10,161,688.50","408,617,229,142.07","3,206.85","2,246.00"
"APOLLOHOSP","5,155.75","5,146.75","-9.00","-0.17","5,146.75","1,499","7,714,978.25","518,922,421,729.43","5,324.00","3,987.85"
"KOTAKBANK","1,895.30","1,889.00","-6.30","-0.33","1,889.00","17,574","33,197,286.00","2,786,271,421,150.29","2,064.40","1,643.50"
"BRITANNIA","4,983.60","4,965.00","-18.60","-0.37","4,965.00","1,136","5,640,240.00","588,191,707,573.34","5,270.35","3,564.10"
"HINDUNILVR","2,583.30","2,561.00","-22.30","-0.86","2,561.00","13,067","33,464,587.00","2,306,485,660,707.35","2,769.65","2,393.00"
"TECHM","1,143.20","1,111.00","-32.20","-2.82","1,111.00","336,708","374,082,588.00","712,935,498,058.75","1,270.75","981.05"
"M&M","1,544.85","1,499.00","-45.85","-2.97","1,499.00","64,754","97,066,246.00","1,383,167,170,490.65","1,594.80","1,123.40"
