SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,VOLUME (shares),VALUE,52W H,52W L,30 D   %CHNG,365 D % CHNG  25-Nov-2022
NIFTY 100,19831.8,19854.7,19792.75,19819.4,19812.1,-7.3,-0.04,343963032,212299372846.18,20136.3,16696.25,4.3,6.22
LICI,620.95,682.0,620.55,617.7,677.7,60.0,9.71,18997036,12653925679.6,754.25,530.05,11.7,7.95
HAL,2154.9,2251.0,2145.75,2146.25,2249.7,103.45,4.82,2909879,6443374168.49,2251.0,1150.0,20.81,-17.98
ADANIENT,2179.0,2251.95,2160.9,2175.25,2250.0,74.75,3.44,1946259,4293525204.36,4190.0,1017.45,-1.6,-42.95
CIPLA,1190.05,1205.0,1178.0,1170.65,1196.25,25.6,2.19,5331201,6374090539.62,1283.55,852.0,2.08,8.44
DIVISLAB,3688.5,3778.95,3686.95,3688.5,3760.0,71.5,1.94,829615,3118713596.45,3934.7,2730.0,10.34,12.63
ATGL,530.6,543.9,529.0,530.6,539.0,8.4,1.58,645918,346644813.06,4000.0,522.0,-4.16,-85.35
VBL,1060.0,1072.7,1057.3,1054.6,1070.0,15.4,1.46,1515670,1614976698.4,1075.0,550.0,15.92,-7.27
HINDALCO,504.85,512.75,502.55,501.95,509.0,7.05,1.4,5973059,3036105889.7,513.5,381.0,11.32,15.24
ADANIENSOL,723.0,740.0,720.15,723.05,733.0,9.95,1.38,479763,349473762.09,2999.9,631.5,-4.63,0.0
TVSMOTOR,1783.0,1818.4,1778.75,1776.05,1800.05,24.0,1.35,1298959,2338321043.85,1818.4,967.55,13.07,73.5
JINDALSTEL,654.0,661.4,652.25,651.7,660.0,8.3,1.27,1526716,1004365387.76,722.8,503.0,2.55,26.79
ZYDUSLIFE,634.8,648.0,634.0,631.6,639.0,7.4,1.17,690395,443468324.3,668.75,390.6,11.28,59.14
ADANIGREEN,936.0,952.8,920.0,930.7,941.0,10.3,1.11,738018,691271939.88,2185.0,439.1,7.69,-53.66
ADANIPORTS,795.9,802.95,785.0,793.1,801.0,7.9,1.0,4421350,3494148691.5,912.0,395.1,1.68,-9.56
AXISBANK,1002.0,1010.75,999.7,999.05,1009.0,9.95,1.0,6956281,7003514147.99,1047.5,814.3,0.57,13.6
BEL,139.95,142.15,137.35,139.35,140.4,1.05,0.75,19614754,2750184658.34,147.15,87.0,6.16,30.98
HDFCBANK,1521.2,1533.15,1519.85,1521.3,1531.4,10.1,0.66,8234596,12590697284.0,1757.5,1460.25,4.28,-5.29
ICICIBANK,921.5,930.4,920.2,923.0,929.0,6.0,0.65,7452002,6893325410.06,1008.7,796.0,1.82,-0.1
AWL,315.4,321.0,310.8,315.4,317.4,2.0,0.63,2001218,632885192.5,668.4,285.8,-4.36,-49.81
JSWSTEEL,779.0,786.25,776.4,775.55,779.85,4.3,0.55,2069730,1619294660.1,840.0,649.05,6.84,7.69
HDFCLIFE,666.05,672.25,663.05,665.0,668.0,3.0,0.45,1511079,1008856783.56,690.85,457.8,9.75,13.88
KOTAKBANK,1739.5,1749.5,1733.7,1739.3,1746.9,7.6,0.44,2561979,4460917834.8,2064.4,1643.5,2.43,-9.56
NTPC,253.3,256.85,253.0,252.75,253.8,1.05,0.42,7149443,1822678998.42,256.85,161.9,7.31,49.57
ZOMATO,114.15,116.0,112.9,112.95,113.4,0.45,0.4,49980086,5705226816.9,126.35,44.35,7.19,76.95
M&M,1549.0,1559.5,1547.5,1545.85,1551.95,6.1,0.39,1239270,1924784593.2,1670.0,1123.4,2.81,23.19
ASIANPAINT,3118.0,3139.8,3111.0,3122.95,3130.2,7.25,0.23,756329,2364692871.66,3568.0,2685.85,6.12,0.9
BAJAJHLDNG,7423.6,7488.8,7399.0,7423.6,7439.1,15.5,0.21,14344,106708315.12,7640.0,5560.15,10.55,16.75
LT,3050.0,3067.0,3039.6,3045.65,3051.8,6.15,0.2,915121,2795365211.44,3115.45,2018.0,5.25,48.07
SBIN,561.95,562.45,559.25,559.95,560.7,0.75,0.13,6529851,3660765067.62,629.55,499.35,-0.14,-7.75
BAJAJ-AUTO,5940.0,5960.0,5900.0,5925.25,5929.3,4.05,0.07,297211,1759049247.72,5960.0,3520.05,10.36,62.91
PGHH,18090.0,18090.55,17840.55,17900.3,17905.0,4.7,0.03,9220,165510432.8,19250.0,13140.1,5.32,28.28
DMART,3820.0,3869.0,3799.0,3844.4,3845.2,0.8,0.02,96391,369952513.64,4228.95,3292.0,4.84,-1.58
SBICARD,740.0,744.35,735.55,738.95,739.1,0.15,0.02,930896,689123690.88,933.0,695.55,-6.48,-8.39
PIDILITIND,2515.9,2516.45,2482.0,2509.3,2509.65,0.35,0.01,247748,618815044.48,2796.0,2250.05,8.08,-5.94
SIEMENS,3640.0,3641.85,3605.05,3619.2,3618.0,-1.2,-0.03,230400,835163136.0,4068.85,2691.5,5.88,30.59
RELIANCE,2391.6,2402.6,2391.05,2395.5,2394.25,-1.25,-0.05,3374743,8090203899.04,2856.0,2180.0,5.65,-8.55
MARUTI,10505.95,10566.5,10462.0,10488.5,10481.0,-7.5,-0.07,380306,3998887165.52,10845.0,8076.05,-0.43,16.59
COLPAL,2187.0,2203.95,2185.2,2187.15,2185.2,-1.95,-0.09,270160,593220029.6,2203.95,1434.6,5.51,38.93
AMBUJACEM,415.95,416.0,411.35,415.6,415.2,-0.4,-0.1,1929621,797628136.56,598.0,315.3,-0.71,-26.63
LTIM,5490.0,5511.35,5437.75,5471.35,5466.05,-5.3,-0.1,152012,831516280.84,5637.65,4121.0,5.83,0.0
GODREJCP,1010.85,1015.7,1003.2,1010.85,1009.85,-1.0,-0.1,720428,728050128.24,1102.05,840.65,2.25,17.47
HINDUNILVR,2515.1,2519.8,2507.45,2519.9,2515.45,-4.45,-0.18,735137,1848538743.35,2769.65,2393.0,1.34,-0.88
ABB,4265.0,4276.45,4224.0,4260.55,4253.0,-7.55,-0.18,116246,494553495.02,4678.0,2640.0,6.33,37.9
ICICIPRULI,555.95,563.5,554.55,555.95,554.75,-1.2,-0.22,1548879,865203809.4,615.6,380.7,7.02,22.86
PIIND,3780.0,3805.0,3741.0,3758.2,3750.0,-8.2,-0.22,447648,1693998514.56,4011.15,2868.9,13.58,11.27
SRF,2359.05,2383.25,2350.6,2359.6,2354.0,-5.6,-0.24,272673,645648763.05,2636.0,2040.0,8.47,3.54
IOC,104.1,105.3,103.0,103.8,103.55,-0.25,-0.24,26009963,2707377048.67,106.9,69.7,19.04,41.04
TITAN,3406.0,3419.1,3382.55,3408.4,3398.4,-10.0,-0.29,589530,2005899406.2,3441.95,2269.6,8.85,30.88
ICICIGI,1434.4,1450.0,1426.6,1439.0,1434.0,-5.0,-0.35,701500,1009107750.0,1485.0,1049.05,5.98,24.08
DRREDDY,5649.95,5756.85,5615.0,5644.65,5625.0,-19.65,-0.35,461081,2630974294.1,5989.7,4175.1,4.61,27.8
SUNPHARMA,1200.0,1209.6,1192.8,1198.8,1194.05,-4.75,-0.4,1376695,1650340665.15,1214.8,922.45,7.57,15.63
ULTRACEMCO,8638.0,8655.0,8545.05,8605.25,8570.0,-35.25,-0.41,197278,1693826935.22,8869.6,6604.1,4.21,24.47
TRENT,2659.95,2668.0,2640.0,2655.05,2644.0,-11.05,-0.42,325606,864063898.26,2668.0,1155.0,24.86,84.98
TATACONSUM,934.7,936.85,924.0,933.0,929.0,-4.0,-0.43,521207,483867730.52,940.85,686.6,4.02,17.46
