SYMBOL,PREV. CLOSE,IEP,CHNG,%CHNG,FINAL,FINAL QUANTITY,VALUE,FFM CAP,NM 52W H,NM 52W L
COALINDIA,230.25,233.25,3.0,1.3,233.25,211002,49216216.5,532998966181.41,263.4,207.05
SBILIFE,1349.35,1366.0,16.65,1.23,1366.0,13461,18387726.0,571069461455.73,1358.75,1054.0
ADANIPORTS,784.2,792.7,8.5,1.08,792.7,33748,26752039.6,653112609673.39,987.85,395.1
POWERGRID,241.5,243.0,1.5,0.62,243.0,33603,8165529.0,845435350296.1,267.0,186.35
BAJAJFINSV,1515.75,1525.0,9.25,0.61,1525.0,6953,10603325.0,804916550187.32,1844.0,1215.0
BPCL,357.85,360.0,2.15,0.6,360.0,5649,2033640.0,343991423132.54,397.9,288.05
ADANIENT,2474.55,2488.35,13.8,0.56,2488.35,6575,16360901.25,782366809326.61,4190.0,1017.45
TATAMOTORS,607.3,610.6,3.3,0.54,610.6,19061,11638646.6,1082639855202.9,665.4,375.2
HEROMOTOCO,3066.9,3079.85,12.95,0.42,3079.85,1062,3270800.7,382507917046.97,3244.0,2246.0
TATACONSUM,847.45,851.0,3.55,0.42,851.0,773,657823.0,496344912268.8,883.95,686.6
NTPC,217.55,218.45,0.9,0.41,218.45,12978,2835044.1,1035560308113.6,226.65,152.6
BAJFINANCE,7173.6,7200.0,26.4,0.37,7200.0,1043,7509600.0,1905873135144.26,7999.9,5485.7
DIVISLAB,3846.4,3860.0,13.6,0.35,3860.0,1270,4902200.0,477257289375.36,3973.9,2730.0
M&M,1499.7,1505.0,5.3,0.35,1505.0,9337,14052185.0,1311360841673.39,1594.8,1123.4
SBIN,573.1,575.0,1.9,0.33,575.0,34475,19823125.0,2200086409357.75,629.55,499.35
KOTAKBANK,1828.0,1834.0,6.0,0.33,1834.0,5576,10226384.0,2702770014132.23,2064.4,1643.5
BRITANNIA,4605.35,4619.9,14.55,0.32,4619.9,728,3363287.2,566345193994.44,5270.35,3564.1
ICICIBANK,979.9,974.95,3.05,0.31,974.95,32732,31912063.4,6789326875233.0,1008.7,796.0
CIPLA,1266.45,1270.0,3.55,0.28,1270.0,6828,8671560.0,634750844943.15,1269.0,852.0
DRREDDY,5657.95,5671.1,13.15,0.23,5671.1,682,3867690.2,686858253596.95,5738.95,3997.0
NESTLEIND,22229.25,22280.0,50.75,0.23,22280.0,55,1225400.0,801037677121.14,23395.35,17880.0
SUNPHARMA,1148.65,1151.15,2.5,0.22,1151.15,2077,2390938.55,1229725153836.68,1169.7,856.8
HDFCBANK,1649.9,1653.0,3.1,0.19,1653.0,45262,74818086.0,12329036545736.59,1757.5,1365.0
TATASTEEL,118.15,118.35,0.2,0.17,118.35,39134,4631508.9,959879172760.2,124.3,95.0
TECHM,1205.4,1206.95,1.55,0.13,1206.95,4303,5193505.85,732891705142.27,1270.75,981.05
LT,2632.2,2635.0,2.8,0.11,2635.0,1982,5222570.0,3175377195775.9,2690.0,1790.25
TITAN,2921.25,2924.0,2.75,0.09,2924.0,571,1669604.0,1211888477858.88,3210.0,2269.6
EICHERMOT,3372.0,3375.0,3.0,0.09,3375.0,950,3206250.0,459684639646.5,3889.65,2836.0
HDFCLIFE,645.45,646.0,0.55,0.09,646.0,981,633726.0,690250762253.0,690.85,457.8
INDUSINDBK,1403.95,1405.0,1.05,0.07,1405.0,945,1327725.0,918860782617.79,1446.0,990.0
JSWSTEEL,801.3,801.7,0.4,0.05,801.7,1743,1397363.1,740300349174.84,825.0,614.2
ULTRACEMCO,8156.85,8160.0,3.15,0.04,8160.0,90,734400.0,942058602184.7,8499.0,6005.0
GRASIM,1844.45,1844.95,0.5,0.03,1844.95,393,725065.35,673083557667.75,1868.4,1527.05
BAJAJ-AUTO,4650.15,4650.5,0.35,0.01,4650.5,684,3180942.0,533318028358.4,4995.1,3461.25
ONGC,173.35,173.35,0.0,0.0,173.35,10855,1881714.25,676045334111.63,178.65,121.5
HINDALCO,454.75,454.75,0.0,0.0,454.75,32345,14708888.75,667529151474.25,504.0,358.8
APOLLOHOSP,5023.35,5023.35,0.0,0.0,5023.35,416,2089713.6,501263509079.97,5364.0,3987.85
HINDUNILVR,2565.85,2565.85,0.0,0.0,2565.85,1018,2612035.3,2273182554159.76,2769.65,2393.0
ITC,452.35,452.35,0.0,0.0,452.35,38408,17373858.8,4014429936923.26,499.7,304.5
MARUTI,9542.55,9540.0,-2.55,-0.03,9540.0,611,5828940.0,1258760360098.56,10036.95,8076.05
HCLTECH,1141.35,1140.95,-0.4,-0.04,1140.95,4333,4943736.35,1211099234516.96,1202.6,882.0
